Audio Minisystem,"CD, not playing",3357.6,400.8,8868.0,28
Audio Minisystem,"Cassette, not playing",3324.0,400.8,7953.6,24
Audio Minisystem,CD playing,4581.6,1248.0,9888.0,24
Audio Minisystem,Off,1996.8,72.0,5899.2,27
Audio Minisystem,Radio playing,3458.4,715.2,9120.0,28
DVD Player,"On, not playing",1809.6,57.6,3048.0,33
DVD Player,"On, playing",2378.4,1267.2,4120.8,33
DVD Player,Off,372.0,0.0,2539.2,33
"Modem, DSL",Off,328.8,79.2,484.8,16
"Modem, DSL",On,1288.8,811.2,1972.8,20
"Charger, mobile phone","On, charged",537.6,180.0,986.4,4
"Charger, mobile phone","On, charging",883.2,64.8,1800.0,23
"Charger, mobile phone",Power supply only,62.4,4.8,240.0,32
Coffee Maker,Off,273.6,0.0,648.0,12
CD Player,"On, not playing",2068.8,960.0,6168.0,7
CD Player,"On, playing",2378.4,1392.0,6144.0,7
CD Player,Off,1209.6,480.0,4416.0,7
"Computer, desktop","On, idle",17752.8,6600.0,43399.2,63
"Computer, desktop",Off,681.6,0.0,2210.4,64
"Computer, desktop",Sleep,5071.2,264.0,19992.0,52
Game Console,Active,6475.2,1296.0,16243.2,24
Game Console,Off,242.4,0.0,511.2,26
Game Console,Ready,5601.6,508.8,15297.6,24
Cassette Deck,"On, not playing",1087.2,1046.4,1128.0,2
Cassette Deck,"On, playing",1372.8,1248.0,1500.0,2
Cassette Deck,Off,129.6,0.0,259.2,2
Turntable (audio),"On, not playing",1442.4,412.8,3072.0,3
Turntable (audio),Off,48.0,0.0,144.0,3
Clock,On,417.6,237.6,866.4,21
Clock,Radio playing,708.0,408.0,1008.0,2
"Television, CRT",Off by remote,734.4,72.0,2481.6,38
"Television, CRT",Off by switch,691.2,0.0,3864.0,58
"Range, gas",Ready,271.2,168.0,408.0,4
Receiver (audio),"On, not playing",9026.4,4104.0,15648.0,18
Receiver (audio),Off,700.8,0.0,4728.0,18
"Set-top Box, satellite","On, TV off",3828.0,1845.6,7968.0,33
"Set-top Box, satellite","On, TV on",3876.0,1845.6,7968.0,33
"Set-top Box, satellite",Off by remote,3758.4,1579.2,7932.0,25
"Set-top Box, satellite",Off by switch,3712.8,1579.2,7848.0,31
"Timer, irrigation",Off,660.0,360.0,1416.0,14
"Timer, irrigation",Ready,681.6,360.0,1416.0,16
Subwoofer,"On, not playing",2568.0,1392.0,4944.0,7
Subwoofer,"On, playing",2980.8,1416.0,4944.0,6
